# tau_fs It_norm phiet_rel_rad
1.8607305600e+02 2.6466241741e-14 1.0242191286e+01
1.8845860800e+02 2.7185558540e-14 1.0708230587e+01
1.9084416000e+02 2.7673389143e-14 1.0986680312e+01
1.9322971200e+02 2.3801863583e-14 1.1171339133e+01
1.9561526400e+02 1.6943440590e-14 1.1319720059e+01
1.9800081600e+02 9.9076991132e-15 1.1464842251e+01
2.0038636800e+02 4.6552071152e-15 1.1636817185e+01
2.0277192000e+02 1.6852706351e-15 1.1888241399e+01
2.0515747200e+02 4.7417169003e-16 1.2357967470e+01
2.0754302400e+02 1.9730460006e-16 1.3224807653e+01
2.0992857600e+02 2.2196355189e-16 1.3937966603e+01
2.1231412800e+02 2.4451472470e-16 1.4292739216e+01
2.1469968000e+02 2.0092061467e-16 1.4495845146e+01
2.1708523200e+02 1.2614056057e-16 1.4620780405e+01
2.1947078400e+02 6.1513446058e-17 1.4666561901e+01
2.2185633600e+02 2.3837302303e-17 1.4566312110e+01
2.2424188800e+02 9.7231732223e-18 1.4178520983e+01
2.2662744000e+02 8.5142195978e-18 1.3674826703e+01
2.2901299200e+02 1.1040244469e-17 1.3460057849e+01
2.3139854400e+02 1.2460641564e-17 1.3445118329e+01
2.3378409600e+02 1.1590116932e-17 1.3514189657e+01
2.3616964800e+02 9.1462953968e-18 1.3619472097e+01
2.3855520000e+02 6.2770179522e-18 1.3740585335e+01
2.4094075200e+02 3.7978228843e-18 1.3867643308e+01
2.4332630400e+02 2.0316144407e-18 1.3995749360e+01
2.4571185600e+02 9.5215946670e-19 1.4123687457e+01
2.4809740800e+02 3.8123331209e-19 1.4254795407e+01
2.5048296000e+02 1.2399454669e-19 1.4400684776e+01
2.5286851200e+02 2.9775725395e-20 1.4594628882e+01
2.5525406400e+02 4.4876751383e-21 1.4954007081e+01
2.5763961600e+02 5.7802210743e-22 1.5876655746e+01
2.6002516800e+02 2.4845150272e-22 1.6768113276e+01
2.6241072000e+02 7.0347724783e-24 1.6208032406e+01
2.6479627200e+02 3.7123098206e-22 1.4420265273e+01
2.6718182400e+02 1.4063845538e-21 1.4483662357e+01
2.6956737600e+02 2.3258787031e-21 1.4565117550e+01
2.7195292800e+02 2.4804626871e-21 1.4639916287e+01
2.7433848000e+02 1.9062651066e-21 1.4702071802e+01
2.7672403200e+02 1.0835363368e-21 1.4741957838e+01
